,Index,country_name_UN,country_id,city_name,type,citycode,y_coord,x_coord,pop,x_coord_OSM,y_coord_OSM
30,31,British Virgin Islands,92,Road Town,Capital,20313,18.41667,-64.61667,13.102,-7193094,2086377
31,32,Brunei Darussalam,96,Bandar Seri Begawan,Capital,20314,4.94029,114.94806,14.025,12795959,550633
32,33,Bulgaria,100,Sofia,Capital,20327,42.69751,23.32415,1221.933,2596432,5266042
33,34,Burkina Faso,854,Ouagadougou,Capital,23192,12.36423,-1.53834,2565.194,-171247,1387188
34,35,Burundi,108,Bujumbura,Capital,20340,-3.3822,29.3644,707.191,3268830,-376723
35,36,Cabo Verde,132,Praia,Capital,20408,14.92148,-23.50868,144.648,-2616974,1680152
36,37,Cambodia,116,Phnum Pénh (Phnom Penh),Capital,20357,11.56245,104.91601,1684.308,11679196,1295952
37,38,Cameroon,120,Yaoundé,Capital,20365,3.86667,11.51667,2930.167,1282029,430762
38,39,Canada,124,Ottawa-Gatineau,Capital,20387,45.416598,-75.697997,1305.811,-8426662,5687346
39,40,Caribbean Netherlands,535,Kralendijk,Capital,206155,12.15,-68.26667,14.592,-7599410,1362784
40,41,Cayman Islands,136,George Town,Capital,20409,19.2866,-81.37436,30.603,-9058552,2188707
41,42,Central African Republic,140,Bangui,Capital,20410,4.36122,18.55496,780.825,2065528,485958
42,43,Chad,148,N'Djaména,Capital,20420,12.10672,15.0444,1212.075,1674734,1357856
43,44,Channel Islands,830,St. Helier,Capital,22891,49.188,-2.1049,35.102,-234316,6306821
44,45,Channel Islands,830,St. Peter Port,Capital,205428,49.4598,-2.5353,16.132,-282228,6353243
45,46,Chile,152,Santiago,Capital,20439,-33.45694,-70.64827,6471.801,-7864529,-3956113
46,47,China,156,Beijing,Capital,20464,39.9075,116.39723,19520.33,12957280,4852509
47,48,"China, Hong Kong SAR",344,Hong Kong,Capital,21137,22.279588,114.188697,7259.569,12711427,2545126
48,49,"China, Macao SAR",446,Macao,Capital,21791,22.20056,113.54611,575.481,12639895,2535621
49,50,Colombia,170,Bogotá,Capital,20837,4.60971,-74.08175,9557.599,-8246742,513705
50,51,Comoros,174,Moroni,Capital,20847,-11.70216,43.25506,55.872,4815131,-1311830
51,52,Congo,178,Brazzaville,Capital,20848,-4.26583,15.28318,1826.886,1701315,-475309
52,53,Cook Islands,184,Rarotonga,Capital,20860,-21.23,-159.76,15.398,-17784401,-2419324
53,54,Costa Rica,188,San José,Capital,20861,9.927817,-84.080685,1159.505,-9359819,1110731
54,55,Côte d'Ivoire,384,Abidjan,Administrative Capital,21602,5.345339,-4.026789,4707.564,-448260,595905
55,56,Côte d'Ivoire,384,Yamoussoukro,Capital,21606,6.82055,-5.27674,258.962,-587404,761059
56,57,Croatia,191,Zagreb,Capital,20865,45.81444,15.97798,687.007,1778660,5750662
57,58,Cuba,192,La Habana (Havana),Capital,20870,23.119541,-82.378493,2146.128,-9170331,2646481
58,59,Curaçao,531,Willemstad,Capital,21953,12.1084,-68.93354,144.73,-7673646,1358047
59,60,Cyprus,196,Lefkosia (Nicosia),Capital,20880,35.159506,33.366929,251.142,3714389,4185578
60,61,Czech Republic,203,Praha (Prague),Capital,20887,50.08804,14.42076,1302.883,1605311,6461536
61,62,Dem. People's Republic of Korea,408,P'yongyang,Capital,21722,39.03385,125.75432,2856.046,13998906,4726521
62,63,Democratic Republic of the Congo,180,Kinshasa,Capital,20853,-4.32758,15.31357,11116.133,1704698,-482202
63,64,Denmark,208,København (Copenhagen),Capital,20894,55.67594,12.56553,1254.808,1398788,7494173
64,65,Djibouti,262,Djibouti,Capital,21005,11.58767,43.14468,521.84,4802843,1298818
65,66,Dominica,212,Roseau,Capital,20896,15.30174,-61.38808,14.994,-6833689,1723999
66,67,Dominican Republic,214,Santo Domingo,Capital,20898,18.489591,-69.901805,2872.818,-7781433,2094934
67,68,Ecuador,218,Quito,Capital,20910,-0.22985,-78.52495,1699.145,-8741357,-25586
68,69,Egypt,818,Al-Qahirah (Cairo),Capital,22812,30.039173,31.239411,18419.138,3477555,3508586
69,70,El Salvador,222,San Salvador,Capital,20917,13.68935,-89.18718,1096.531,-9928271,1538600
70,71,Equatorial Guinea,226,Malabo,Capital,20920,3.75,8.78333,145.077,977755,417746
